tweet	label	length	fold
. mann you dont lettme knoee nothing . !	0	0.2	3
good deal ! i gotta work though !	0	0.165	3
never met them got too cold and didn't want to wait any longer , so just come home i'll meet them again one day anyway , i	0	0.61	4
"x custom picture frame / poster frame . "" wide complete black colori smooth frame (  this frame is m ..."	0	0.52	2
well that wasnt the new one but whatever ur lose ! and that should be a link	0	0.38	1
< < go follow this beautiful person now ! x	1	0.215	1
ahh well this is awks oops looks like my questions arent getting done #sorrynotsorry	0	0.42	1
think so they think we cant beat it but well show chel can !	0	0.3	5
gonna sleep in tonight #finally	1	0.155	4
now if my phone would ring so his pic would show on my screen ! ! ! lol	1	0.355	5
i love all the q stuffs	1	0.115	1
well my house mates are all out for the night ... nice bit of me time	1	0.345	1
source naturals msm powder ,  oz ( pack of	0	0.21	2
so all these thirsty hoes can twatch me  #hisgf	1	0.235	2
ahahaha that's too funny ! ! ! i want to hear you guys .	1	0.28	4
i love that love pict	1	0.105	2
if you ever notice i never say r . i . p it hurts so much more when i do , it makes it more realistic & i hate it	0	0.565	3
so sad how today was my last ever #ukrockchallenge  damn i'm gonna miss it ...	0	0.39	4
miss you too twinsie i'll probably be up at cp tomorrow night , see ya there ? !	0	0.4	5
x rts from faves ?	1	0.09	3
untill next season ... hardwork & neverquit #letsgosuns	0	0.275	5
i have to prepare little present for iu , but i don't have any talent how can i do cheer fo her ? - ;	0	0.505	4
#nofilter #tbt  and i at junior prom last yearrr	1	0.24	3
need to sort bags out , make breakfast and do our last day of walking in the rain	0	0.405	5
"beyonce x custom picture frame / poster frame . "" wide complete black rustic pine frame (  this fram ..."	0	0.52	4
is almost here :d ! ! <  better come threw ! ! !	1	0.24	2
soo true ! rt  everythin taste sooo much better wit soda	1	0.28	3
ahaha ) i won't i won't . i've long wanted this length .	1	0.28	4
aw , i hate it when animals die in films or tv	0	0.23	4
can you please get whoever is in charge of inviting people to get nichole from girlicious to the mmvas ?	1	0.52	4
#middleschoolsongs i like that - chingy	1	0.195	1
(  apparently i crawled into someone's bed and demanded they call me ' big dog ' before shotgunning a beer .	0	0.54	2
thankyou	1	0.04	3
oracle-google trial puts ex-sun execs on opposite sides ( cnet share with friends : | | programming - open sou ...	0	0.57	5
loool you cow ! i was one of them people haha i'm soaked	0	0.28	2
i wasn't aware you were a fan of skrillex	1	0.205	4
feels like someone is stabbing me in the stomach , all i need is some loving but everyone's abandoned me in my house #needtlc	0	0.625	4
i'm so hungry but can't eat cause everything has sugar in it	0	0.3	2
please rt . in  hours , we will be trending #yesterdaytodayforever . : pm , la time thanks	1	0.45	4
yeaahh ... call me kalutera na sou pw	1	0.185	1
only one person can keep me up so late	1	0.19	1
i took mines out it chipped my tooth bout i'm about to get peach pierced	1	0.36	4
: sony icf-c  automatic time set clock radio with dual alarm ( white  pdt	0	0.365	2
i call her pussy cocaine cause i'm addicted to it . always coming back for more	1	0.395	2
hate it when yeah can not get to sleep	0	0.19	5
i know . i probably won't . i'm just dying inside . i could not be more miserable . waaahhh	0	0.455	5
"i really feel sick as hell ( - _ - ) ... all this "" excitement "" got me feelin a mess"	0	0.425	2
when someone use to be your bestfriend that you didnt go a day w . o talking to & after one little incident everything changes #upsetting	0	0.685	1
i dare you to follow me ! i bet you won't do it , because you'll never see this	0	0.395	2
im almost out thats y im dyinggg	0	0.16	2
my novela is going to be sooo good tonight ! ! lol i'm excited	1	0.31	1
you got that bomb girl i'm trynna detonate ya ! !	1	0.245	2
"brave design skin decal sticker for apple macbook  "" "" white unibody ( no separate trackpad released in  th ..."	0	0.555	2
do you know what the fan mail address is yet i cant send your present	0	0.345	1
room redux : the home decorating workbook ( spiral-bound learn to decorate like the pros and discover every room ...	0	0.58	5
exploring expect : a tcl-based toolkit for automating interactive programs ( nutshell handbooks ) ( paperback expe ...	0	0.59	2
last day of the season	0	0.11	1
do you live in #nottingham ? we do ! we love notts for the rich art life , fab pubs and warsaw diner's blueberry pancakes !	1	0.615	1
lmao i'm not making you watch it . you can watch a movie on ya laptop	1	0.345	3
did you see the video ? <	1	0.125	1
im #offthis goodnight y'all .. text me if you got tha number	1	0.3	3
rt  rt  if you're gonna throw money at a beggar , why give in the first place . that's so not cool .	0	0.5	4
its that #baconlife	1	0.095	5
""" i think most of us grew up wearing pajamas to bed , so it seems strange not  , but trust me , its so much more comfortable  wear nothing """	1	0.7	4
why do i still feel so tired !	0	0.15	4
if you are going to talk homelessness on  get my friend  on . she was homeless & wrote a book on it . #abc	1	0.53	4
innit but they turned it down	0	0.145	4
a guy who had less than  starts in college went th overall . i need to become a kicker & just ink the damn deal already	0	0.595	1
more followers would be appreciated , i don't want to sound greedy x	1	0.34	4
logan is my special someone today #btrtour	1	0.21	3
foxtrot : en masse ( paperback the fox household is a non-stop , always funny , battleground : kids , parents , and ...	0	0.595	1
taken from the th floor of the empire state building	1	0.26	3
vocabulary synapse : the best software for sat and gre vocabulary ( cd-rom driven by mind sculptor softwares ad ...	0	0.575	2
volcom frochickie  ' ' white / black juniors chino walkshort (  get a perfectly preppy look in these frochickie ...	0	0.575	4
yeah u should read it sometime	1	0.15	4
follow me please	1	0.08	3
only just got here n wana go home #longday	0	0.21	1
lexerd - sanyo vpc-t  truevue crystal clear digital camera screen protector ( dual pack bundle the lexerd tru ...	0	0.565	3
a reply on bbm would be nice sweetheart !	1	0.205	1
my legs are falling asleep	0	0.13	3
try closing your eyes and picturing something or somebody that you really want . hope that helps	1	0.48	4
michelin green guide california ( michelin green guides featuring a principal sights map , practical information ...	0	0.58	1
r . i . p . dead little birdy on the side of the road !	0	0.275	4
the original five little monkeys ( paperback the beloved children's songs about five little monkeys jumping on ...	0	0.57	3
oh ok ... bc im on all the time and i remember how you were always so big on blog votes n stuff	1	0.475	5
"new dance / electronica #album ( release "" new era retro , vol  "" by various artists -"	0	0.43	1
according to national geographic , redheads might become extinct by the year  . but i love red hair #sadstory	0	0.545	3
rt   follow back i accidently blocked you	0	0.205	2
wow im gonna be so bored tonight .	0	0.17	3
this just made my day !	1	0.115	5
i love kelly i hope she kno that love u too	1	0.215	2
this spring break messed up my whole sleeping cycle	0	0.255	5
hopefully it wont be too awful	0	0.15	2
i missd  even if she has frgt me	0	0.16	2
all is forgiven o because i'm such a god fearing person loool	1	0.305	5
fairview mall with	1	0.09	3
ordering my high waist bathing suit	1	0.175	5
nx twtup is on june ? mohon jgn jauh  sgt	0	0.205	1
miss you too get together soon !	0	0.16	3
who's  he has the freaking voice of an angel omg	1	0.24	2
this is my type of rap - - eshon burgundy - angels (   via	0	0.29	5
feeling very sick again ... why is this happening	0	0.245	2
proud of my babies ! they are doin soo good	1	0.215	5
didn't you set them straight ? ! like you do with	0	0.245	2
we just made history show you guys what has been yeah you can wear my raybans but you gotta keep the lense clean laters guys xx	1	0.635	1
rtu already did ..  praying that i get this job ! ! !	1	0.265	2
hopefully getting soundcheck , my ball this year is dress up so ill be fine yaays . ! awww ill record it .	0	0.53	4
its  birthday today so can you rt or follow her please    xxx	1	0.305	3
having a damn good time is what you were doing and i was taking undercover pics	1	0.395	2
yeah he's really good ! had a hatty couple games back ! ! !	1	0.295	5
i feel rejected ugh hate feeling this way	0	0.205	4
aww don't worry things will get better .	0	0.2	3
to make me jealous when i'm super emotional !	0	0.225	1
asus usd - a . inch laptop hard case color pink + nuvur keychain ( ndcp protect your notebook with th ...	0	0.525	2
it for sure is on point . a few bullets never hurt .	1	0.26	5
amari said she wanted her baby strapped in to	1	0.225	2
primal elements wrapped bar soap , dueling dolphins , .- ounce cellophane ( pack of	0	0.415	2
lenovo - ibm thinkpad t  laptop battery ( replacement  - cell lenovo - ibm thinkpad t  . v mah ...	0	0.49	2
now my ice tea is ruined fml	0	0.14	1
black widow signature grip ( red / black the black widow signature black white grip features a firm two-compound ...	0	0.58	4
why am i here today	0	0.095	4
poor black guy in this movie he didn't rape anyone	0	0.25	5
rtbgt  believe in allah that everything would be okay	1	0.265	2
"x custom picture frame / poster frame  "" wide complete olde world gold frame (  this frame is manufact ..."	0	0.53	5
nope i so feel like dropping out of school now .. lol	0	0.265	4
"""   has a better butt than  """	1	0.145	5
i miss  and his sexy face !	0	0.135	5
weathers better than here ! last year we missed a week of school because of a ice storm and we have tornados	0	0.54	1
its depressed me . i reckon too , chelsea are on top form , shame i can't say the same about liverpool	0	0.51	1
i would have to sleep on my stomach so my cat could sleep on my back or itd meow the whole night ! this is depressing	0	0.585	3
my non octipus friend you need your arms plz dont eat them , how will u hold my baby horse when it is born with out them ? <	1	0.62	5
so far the supposed lineup for scream it like you mean it that i have seen has been true ) ) )	1	0.47	3
well actually you kind of already have	1	0.19	3
ready for some #justice on #revenge ? cause i know i am . c'mon weds ! promo ( hd  via	0	0.43	4
hw cn i ll b relaxed want to wtch navya (	0	0.205	4
exactlyyy . stupid black / light waves everywhere or smoke >	0	0.3	1
thank you for the follow	1	0.12	1
lol havee a good day	1	0.1	2
so my big cousin and fiancee are looking after us tomorrow night whilst our mums are at some party that means carry out for dinner !	1	0.66	3
followed rt  sintyaputri_sb i just followed u , thanks for rt ! follow me back , please =)	1	0.45	4
follow back plz i'm new to twitter	1	0.17	5
greyson michael chance is #wanted for stealing my heart . if you see this boy in manila , bring him to me and i'll lock him in my heart .	1	0.685	4
you're not really sure what you're doing this for , but you need something to fill up the days	0	0.47	4
shout out to all the chicks with melted french tips from smoking weed today !	1	0.385	2
i really like this	1	0.09	4
quiropractica / chiropratic techniques ( cuerpo y salud / body and health ) ( spanish edition	0	0.465	1
rt  rise and shine is such a nice and sunny day out today ! at work now getting ready to sing !	1	0.475	2
your face was really soft today . lol	1	0.185	2
god , please help me	0	0.1	3
zayn please follow me back	0	0.13	1
aesthetics . ( on the boundary of two worlds : identity , freedom , & moral imagination in the baltics this work by ...	0	0.595	5
it's shit how my dog just disappeared from my life , i miss him so much	0	0.355	4
my bro & i love it when you make  ' s ! #ifollowpaugasol #golakers ! ! !	1	0.36	1
hahahaha ! ! i read ya up early on your day off !	1	0.245	4
typed up my project now i can just glue it then sleep . ahhh	1	0.3	3
back is breaking due to the impact of my fall and then work and humfing my rucksack #mannn	0	0.45	2
and a fantastic season it was ! enjoy vacation .	1	0.24	4
uhm , patanong po ... i'm super new here sa twitter .. how dyu create that moving pix ? what dyu call that ?	1	0.54	3
ohhh well . the making up will be great .	1	0.205	2
mimi dietrich's favorite applique quilts ( that patchwork place ) ( paperback mimi dietrich's incredible career a ...	0	0.585	1
""" as a kid "" was the rest of that sentence on instagram . too long for twitter !"	1	0.4	4
thank you and you know i gotchu rt  happy birthday lightbrite .  good look last night	1	0.425	2
i'll just have to teach him baseball then ..	1	0.22	3
i love that feeling i get when you look at me .	1	0.235	1
cant finder my ipod in useing other peoples ipod hehe )	0	0.275	5
caught in a jam could have reached home  mins ago . sian ttm	0	0.3	4
i voted like  times lol #moswantedcrew call right now to vote	1	0.305	1
hi niall ! please notice me .	1	0.145	3
yea ! do it ! they're so comfy i love them . i want another pair haha ! and ... yea me too #procrastinatorslyfe	0	0.555	4
haven't received an email with the download link yet	0	0.26	4
its really colddd	0	0.085	2
to all my amazing supporters who came to westfield tonight . i am so sorry if i didn't get to see you . i was pulled from pillar to post .	0	0.69	5
sexy - i totally get it , i went through that from pretty much late december until early mid january . good luck !	1	0.57	2
nicole's divine crackers it's a chili chocolate day ,  - ounce packages ( pack of  nicole's divine crackers are ...	0	0.575	3
i'm a put my tongue on every inch of yo body	1	0.22	4
how beautiful as always ! ! ! xoxo i love you ! !	1	0.245	5
you always gotta be wary when your around the a -	1	0.245	4
feeling so drained . it sucks when you have an amazing day , then you're back to normal life	0	0.46	2
hello holliepop family excited for tomorrow ? keep me in your prayers i met gavin degraw today ! no big deal	1	0.54	2
listening to sh . ahmad saad recite on my phone ... im gonna miss the guy , no more in finsbury park . i think he moved to palmers green	0	0.68	3
this song made me cry over and over again	0	0.205	4
i haven't hung out with  in  whole weeks .	0	0.21	1
on my walk home . - - i'm trying !	1	0.17	5
ok , ltr now i no more tokens alre ! ! what name ?	0	0.25	5
night without him ! que feo	0	0.135	5
yup , and quite hard i guess .. and it's still freezing here , although the ac has been turned off after . pm , krg lemak niy gw	1	0.64	5
th tweet retweet or reply ..	1	0.14	5
i knoww hes like an adorable little kid !	0	0.205	1
"x custom picture frame / poster frame . "" wide complete brown wood frame (  this frame is manufact ..."	0	0.51	1
puskin chandelier d -  - amber ,  arm ,  - v ( for use in the u . s . , canada etc . product description : - ...	0	0.56	2
let's do this more often	1	0.12	3
lol it's all good i'll just stick with tweetin ya haha	1	0.27	5
color ain't everything #ipeferchoc	1	0.17	4
but they told me he was deffs in the studio ... they lied to me .	0	0.325	5
no , i am not aggressive haha but ok	0	0.18	5
its time to get my cornrow fresh	1	0.16	4
they work the best n hey r fantastic for us win-win	1	0.255	4
lol .. well yee , but i will say , one of em broke thier leg before a performance n still performed on stiltz , i rate that ..	1	0.63	4
i had that  swag stripes and toms	1	0.165	4
pride this weekend	1	0.09	4
yes m'am we are ! ! i'm really pumped as well !	1	0.235	3
finished homework =d off to bed :/ hope #idol is going well ! i wish i could watch but no my parents won't let me bet  is beautiful !	0	0.665	1
hope they later let me play	0	0.135	1
turn on the lights im looking for him , my shit !	1	0.245	4
did a business deal gone wrong lead to china murder case ( china national news share with friends : ...  #china #news	0	0.585	5
had my last brekky with solar finance team . kakalungkot din ..	0	0.315	5
samsung sens pro  compatible laptop power dc adapter car charger ( car  this replacement laptop dc power ad ...	0	0.555	3
"lmaooo ayee wit her sexy singing voice rt  lmao rt  me first fool . ""  gotta get"	1	0.4	2
she looks so sad lol . she was singing though	1	0.225	3
yeah i'm going tomorrow and yeah partners ! and i have kwento for you bwahahaha hey i heard you were a wild one	1	0.555	2
"trend it "" michael jackson is the king of music "" <"	1	0.255	3
ira  : infrared receiver for pc remote control . connects to your pc via serial port and cable ( included you wi ...	0	0.58	2
skipping school with  #getlikeus	1	0.16	2
ive allowed you to be left in the past so i can finally move on with my future	1	0.39	4
"x custom picture frame / poster frame  "" wide complete white oak frame (  this frame is manufactured i ..."	0	0.53	5
actually can't stand arguing much longerr wanna go back to last year	0	0.34	4
zantac  tablets ,  tablets ( pack of	0	0.18	1
on da bus to school soo tired didn't even finish mahh maths homework .. lol i'll do it in science lol	0	0.505	1
happy anniversary too : * iu :*: $ ; ( { } ) rt  happy anniversary  month with you baby , ...	1	0.465	5
special little video is rendering at  % . hurry up , sony vegas ! ! ! >	0	0.355	5
job world-bank ( ifc - nairobi - kenya senior investment officer , agrib ...  quant ib finance jobs	0	0.495	4
happy birthday and always happy yaa  all the best for you ..	1	0.3	1
stop ... now make that motherfucker hammer time like ... go stupid , go stupid , go stupid	1	0.45	5
you know you've found a good one when he tells you he prays for you .	1	0.345	4
when's justin leaving today ?	0	0.145	1
"michael schumacher canvas giclee art print #  "" x "" ( . "" deep all our canvas art pieces arrive ready to b ..."	0	0.55	4
you're going to see  aren't you . kiss her hug her and have fun #lucky	1	0.35	4
my mother really sitting here talking to my dog lmao	1	0.26	4
pharos traveler gps  directsync - complete essentials kit ( us outlet plug , cleartouch crystal the directsyn ...	0	0.565	2
hate missing out on good stuff , why can't i be eighteen	0	0.28	3
a video for the standard  . forthcoming ?	1	0.205	5
i know ! :d hahaha , my twins ! what are you gonna do for your birthday ?	1	0.365	1
no problem & thank you so much	1	0.15	5
rt  earth day  is about to begin ! check in on our page , and feel free to post photos !	1	0.44	5
been thru some things & he could really use a friend . #inmymind	1	0.32	1
replacement battery for toshiba satellite  (  cells , whr brand new . models toshiba : pau , pau - bas ...	0	0.53	1
check this out : the golden apples ( amazing amazon )  xx	1	0.285	1
i'd get it looked at mate ... but tbh theres no point now it's been that long	1	0.385	2
i hope that sehun is gonna do a birthday message on tv for luhan too ! ^ ^ it would be soo cute <	1	0.485	5
rt  rt  come support the food drive in foster ! be a helping hand - - - pm	1	0.37	3
passed all my profiency tests ! ayyeee	1	0.19	5
sounds gorgeous . enjoy last  gigs in spain - if the show's even half as hot as edinburgh it'll blow em away	1	0.54	3
i have no money when are we ever going to skype ?	0	0.245	3
i ain't say thank yurr .. thank you	1	0.175	2
hell yeah ! hollie killed it ! ! ! damn ! like perfect . yes ! finalllyyy ) ) )	1	0.395	1
"can you say "" te amo "" for me ? well , it's impossible #argentina loves you ! please follow me bella #teamo . #"	0	0.555	1
like this rt  say fast - u , r ,  ,  , c , i ,  ,  ,  , q - retweet if you get it .	1	0.415	4
justin bieber red small-medium hand embroidered silk robe ( free worldwide shipping hand embroidered silk night ...	0	0.575	5
"""  just got out the shower """	1	0.14	4
i was bartending at a party lol that was only once :/ we should plan a reunion at the beach annually and start a tradition	1	0.61	5
just because i let you go doesn't mean i wanted to .	0	0.26	2
what about your awesome allstate agent ? she's pretty on it and amazing too	1	0.375	3
i'm fortunate the master is downstairs ! plump , drunk and full of spunk .	1	0.37	5
lol i be feeling bad i try to break the habit i don't do it as much as i use to so im on lmao	0	0.465	3
when you grows the courage to tell he you got something for her and she gets taken ... < < ?	0	0.46	1
eff you then , zarry's mine then .	1	0.17	1
awh :d thats so nicee im sure it looks fine anyway ! xoxoxo	1	0.295	3
- not got it yet ...	0	0.1	5
""" everyone have coke ... ca cola ... "" rt if you know who said this"	1	0.335	4
r.kelly	1	0.035	4
really wish i wasnt going thru all of this ...	0	0.23	1
mind to followback ? gomawo	1	0.135	1
the lucky one is released tommorrow which is also my birthday ! ! cant wayt ! !	1	0.395	3
don't mind me saying this , but i woke up with just one thing in mind .. i'm friggin sexy and i know it  day to #hotgivesyouddolls !	1	0.66	5
cant wait for next weekend .. its gonna be chilll ... macchhh ... ! and then i start at freakinggg recipesss ... urghhh ... will miss pdtion ..	0	0.715	4
nikon d soom ... maybe ... only maybe	0	0.185	5
mh cannot wait ! icing ? aaah let's add to that some purple , soccer , lifetime , midnight snacks , and boys #codysaaaywhat	1	0.615	2
cook'n quick & easy ( jewel case meals in minutes with homemade taste ! product informationdelicious and easy mea ...	0	0.585	1
feel out of place when i sign into tumblr , don't know why i made it lool oh well follow me  loool	1	0.49	4
once upon a time in the west : the original soundtrack recording ( audio cd one of the most lyrical western movi ...	0	0.58	1
bless me , ultima ( paperback stories filled with wonder and the haunting beauty of his culture have helped make ...	0	0.58	4
rt  i was excited when  books sold , leapt for joy when  left the bookshelves . imagine me now , downloads in  months	1	0.585	3
i'm thinking of using it as my new ' swear ' word ... #fracking ... kinda like it	1	0.405	2
acrylic cube makeup organizer (  drawers plus one w / lid acrylic cube makeup organizer (  drawers plus one w / li ...	0	0.59	4
#oomf is cute as hell	1	0.105	2
oh nathan and lucas scott ... you give me goose bumps #onetreehill feels like im in hs again	1	0.46	3
sounds good to me	1	0.085	2
ilove females their juss way better then niggas	1	0.235	2
can i get a tweet for my birthday ? stuck at work and in the rain	0	0.325	1
it's my fave film	1	0.085	2
nothing like some chicken to sort you out	1	0.205	1
shoutout to beautiful  because she's beautiful and really nice follower her <	1	0.385	5
thank you ! you have a lovely day !	1	0.175	2
been away the last two weekends	0	0.155	1
oh so josh hutcherson wants the drinking age younger i see ...	1	0.31	5
lenovo thinkpad x laptop computer - intel core i - m ( . ghz , mb l , mhz fsb the newest x series ul ...	0	0.52	3
#  :  low carb breakfast recipes for accelerated weight loss (  low carb recipes for accelerated weight loss ...	0	0.56	5
story of my life	0	0.08	4
no i no its sh ! t na it's cool i soldiered thru :/ #legend hope u good x	0	0.365	4
r . i . p taylor thomas its sad to loose someone you've known so long ...	0	0.365	5
packing for all-region on saturday . sooo nervous	0	0.245	3
"a lot better but definitely not  % - can't stay awake & stomach still "" gurgly "" trying to keep down ritz crackers right now"	1	0.62	1
best friends :') it's the best name #everygirls_	1	0.24	3
thanks girl	0	0.055	5
"""  how annoying  is being right now < < < #godie thanks : * """	0	0.305	1
"i love you ! say "" hello "" to me , please ?"	0	0.215	5
if i didnt for shaniya car seat in my mom car i would of been at cha house today	0	0.4	2
i made over $  in tips & a very sweet boy came to see me , so it honestly doesn't bother me anymore that i had to work tonight .	1	0.64	1
chester : the imperfect all star ( the imperfect angels series	0	0.31	4
me and toni are going to liverpool tomoz to see  we so cant wait to see giant girl and dog and her uncle	1	0.52	4
graham sutherland ( the penguin modern painters	0	0.235	1
so glad i got to see  today	1	0.135	1
i have no med it's been like this since after . and morning aish	0	0.32	5
sweet surprise from my sweet boy !	1	0.17	1
when i go to set my alarm and realize i have to set it an extra ten minutes early #juniormeetings < < <	0	0.515	3
so it's not karma . good . i can return to being a bitch	1	0.28	1
we should audition for the jzone music team .	1	0.225	5
everythings all good	1	0.1	1
tryna stay up for my bloody valentine ... bt it comes on @	0	0.29	1
nahanap ko na yung official . : bd antipolo pero may house kami sa laguna . sensya , out of the blue akong nag-tweet sa'yo .	1	0.62	5
shit no way wot makes them think that xx	0	0.2	5
im okay thank you , how are you ? xx	1	0.18	2
woke up this morning feeling lonely and sick	0	0.22	4
thinks he lives that yolo life !	1	0.16	3
right ? i should start posting pictures in your hoodies now hahahah	1	0.335	4
i'll be expecting you >	1	0.115	2
dance like nobody is watching girl ! | the yo ! show  via	1	0.285	4
dials  rt  * lights a match and throws it at something *	0	0.28	4
thanks !	1	0.04	3
no one like you , personalized lullabies for daniele - pronounced ( dan-yell	0	0.38	2
cargo-bot is a deceptively simple ipad puzzle game , made on the ipad ( video after flinging avian creatures n ...	0	0.57	1
whats wrong pal ? , dm me because i've run outta texts xxx	0	0.29	1
#teamprelude >  seen like  dc on the way home .. good thing i'm team #da	1	0.36	2
< i'm sowwy i tried to give you your seat back	0	0.23	5
everything is good as well ) just waiting to graduate - . -	1	0.295	2
aw i hope she turns up soon x	0	0.145	1
lol not exactly like her ... nevamind i'm not gonna win this so let me just stop b u block me	1	0.465	2
it's like i want world know if i love you	0	0.205	3
bring me back to singapore please ? universal studios and sentosa . (	0	0.345	1
the collected short stories of louis l'amour , volume  : the frontier stories ( hardcover louis lamours world ...	0	0.565	1
necktats #  turnon . i read it wrong lol	1	0.2	4
i would call it mindlesseveryday .. but how draje says it !	1	0.295	5
woooh ! good to be home ? xx	1	0.14	2
i havent rt  okay ! the #picreq thingy is done ! now what game should we play ? how about #guessfandom ? ^ ^ winners will get	0	0.625	3
#theresaspecialplaceinhell for the person that gave me a hot & spicy instead of the mcchicken i ordered ! ! ! #ithurtssobad	0	0.615	5
yeh i'm real good thankyou what you been upto lately ? we still haven't met up for a catch up ! we need too ! xx	1	0.56	1
and i will go there again .	1	0.135	1
i will if you take me to the mac & wiz concert	1	0.23	5
aaawww im sorry . dang that sucks . ! is softball your passion ?	0	0.32	4
battery for hp / compaq pavilion dv - tx (  mah , denaq cell count :  capacity : mah compatible parts : ...	0	0.535	1
this woman's death stare omds she's tryna possess me ! her colourful bird imitating make-up don't help either	0	0.545	2
"""  "" awww what's wrong mi amiga ?"	0	0.165	2
omg hi < follow me please ?	1	0.135	4
well i just put you one closer	1	0.15	5
parallel architectures and compilation techniques ( pact   international conference :	0	0.425	4
"tw pau gasol ( la lakers "" all my respect and admiration for the best coach  has ever had . his legacy is incredible ! #thankspep """	0	0.655	1
my phones across the room . ( ( ( fml .	0	0.195	1
i miss cleveland so much	0	0.12	5
"""  boardmasters are gonna have to pull something out the bag for me to buy a ticket #sortitout "" more lineup out next week"	1	0.61	5
i bit my tongue while sleeping like last week & it still hurts like hell ! i wanna cryyy ! i cant eat or drink anything . ! )	0	0.625	2
follow back please ?	1	0.1	1
rt  im not flirting . im just being extra nice to someone who is extra attractive .	1	0.415	4
usually i hate thursdays but today was actually pretty good !	1	0.305	2
essential cell biology ( hardcover essential cell biology provides an accessible introduction to the fundamenta ...	0	0.575	5
mehnnn i miss these girls ! much love babes	0	0.215	3
might i suggest  in cedar hill ? rt  it's been  weeks since i cut my hair i look beyond horrible ...	1	0.5	3
why is all your merch sold out ! ! i wanted a tshirt !	0	0.27	5
i'm not sure i just want to go so bad	0	0.185	4
i apologize to my followers in advice i'm in tweet only mode . so excuse me filling up your feed	1	0.48	4
would you suck a big hairy toe or lick a belly button ? #cantsayno <	1	0.34	1
change your life - real estate investing ! ( chico ready to change your life through real estate investing . thi ...	0	0.58	5
mmmk	1	0.02	1
cirque du soleil anniversary collection ( - ) ( dvd this anniversary collection celebrates the achievemen ...	0	0.545	5
dude i couldn't find any tikkis ! was on a hunt	0	0.235	1
- what i want to be when i get older : journalist ( fashion & music ) go comment more numbers on the picture - rebecca <	1	0.6	4
this rain makes smoking even better	1	0.175	5
rt @ leading provider of web hosting , reseller hosting , vps hosting , and dedicated servers atiq_que  affect ...	1	0.57	1
if yu sexy & ) yu know & ) yu aiin afraid too show it , put ah candle on my muh'fckn back bby blow it	1	0.505	3
haha i know you are	0	0.095	4
l why is so hard too me nothing hard dor a baby wirh his mom . nothing hard for u with ur god . walk thru it .	0	0.55	2
channel master cm antenna rotor wire for cma rotor -  ft ( cm -  for use with channel master cm ...	0	0.495	5
barracuda blues ( kindle edition a teenage son sees red after his father is verbally and physically abusive .	0	0.545	3
yes but so going to miss watching it	0	0.18	1
glad i could help	1	0.085	4
hahah yea caint wait core work is tough tho :/	1	0.23	1
save money this holiday season ( andover save money this holiday season looking for great deals on all your gif ...	0	0.575	3
#hagd	1	0.025	2
psst . have you received your #tvd invitation yet ? open it here :	1	0.33	1
stopped noticing his fans ever since he got a gf he stopped dming us and just being his random self	0	0.495	4
peanut butter and jelly sandwhich .	1	0.175	1
that was a mission man ... well worth it though !	1	0.245	4
i going to miss a lot of people next year the last day of school is gone be hard for me	0	0.435	5
aw drink lots of tea and feel better ! !	0	0.2	4
coz we think it will make us happy .. afta all thats wat we r all seekin .. n worst of all wenwe get it we realice we rnt	0	0.605	5
probably not	0	0.06	1
i'm burnt all over . won't be tanning until next weeekkk #sadtweet #stillpaleasfuck	0	0.415	1
everyday will be alright for me	1	0.155	3
on my way to school boutta pick up trey wat yu doin	1	0.255	4
thanks jade . looking forward to taking it blonder for you	1	0.29	3
wondering what's piggy doing	0	0.14	4
hahahah why are we so funny	1	0.135	3
yeahs another vid ? : $ and see you should tores go for it if your ready ? xo	1	0.385	3
thaanks !	1	0.045	2
good families don't ( paperback a risqu subject is just the recipe for munsch's playful wit , which has readers ...	0	0.575	5
follow me please <	1	0.09	4
omg i have not seen titanic d i dont even like that shit but if i had a bf i would wanna go that would be soo cute	1	0.57	4
aaa kasamm i'm listening to ore piyaaa < /  i'm abt to cry man ! eyes filling with tears o .	0	0.46	5
haven't been able to talk to my friends in a while ! missed this	1	0.32	1
batted lefty for the first time today . i'd say i'd did pretty good . #winning	1	0.39	1
akid is such a dick <	0	0.105	5
your tweets are either about football or food greedy	1	0.26	2
rt   finally ! / / right ? ? we enjoyed #rhobh sept-feb , and now new jersey ! ! ! love it ! !	1	0.47	4
"general book of the tarot : astrology of the tarot ( forgotten books book description : "" there have been numerous ..."	0	0.59	4
say hey to maison ! ! ! < (  live on	1	0.18	2
douxo - chlorhexidine ps shampoo dogs & cats ( . fl oz chlorhexidine ps shampoo is formulated with antisepti ...	0	0.56	3
in the shaker style ( in the style ) ( paperback the best articles on shaker design - - from both fine woodworking ...	0	0.59	2
friendship ( a short film by  featuring background music from   #ecomogtv	0	0.365	5
tithing : test me in this ( ancient practices ) ( paperback stories of people who live a generous and happy life ( ...	0	0.59	3
oh no i'm sure he wasn't !	0	0.13	5
maybe they are right	0	0.1	4
when are you leaving ?	0	0.11	1
peru was so awesome ! was bummed to leave . but i'm excited to be in brasil , rio you are crazy ! !	1	0.495	3
klaine couple counseling ? but why ? just why ?	0	0.235	1
"lmfao . "" i'm an astronaut , flying on the black rocket . """	1	0.295	3
how funny ! he reminds me of an older nicholas brendon . - - jacqui rt  you remind me of a young bruce campbell .	1	0.565	2
yeah i want to get drawn on lol x	1	0.165	3
